	R935_Col	R935_TSB	R935_FC	DEG	OG	KO.id	KO.description
cds1016	7.47751105011425	10.0363665652024	-1.79610397558758	down	OG0001286	K00252	GCDH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
cds1017	7.54777480492762	5.43650015653981	3.0073627810421	up	OG0001271		
cds1018	5.36666029080743	2.11566080643758	5.85244240591828	up	OG0007517		
cds1019	4.8073483061525	3.14647287792128	4.27512729961289	up			
cds1020	4.51217873552324	3.34000765317968	1.60966442679781	nonDEG			
cds1021	5.74906012801597	4.8733544151786	1.68272476004323	nonDEG	OG0000021	K06147	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
cds1022	6.72407432557796	4.16967731104902	2.73375015314202	up	OG0005754	K13408	raxA; membrane fusion protein
cds1023	4.73950384145745	4.1500460813645	1.55662112869474	nonDEG	OG0002863	K15460	yfiC; tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]
cds1024	4.47565285949813	1.5822762181068	2.39907922334206	nonDEG	OG0007047		
cds1025	2.95149168693029	5.50898461371477	-2.36430506788056	nonDEG	OG0000973	K02860	rimM; 16S rRNA processing protein RimM
cds1026	11.7334690425867	13.7705450983131	-1.21879591814631	down	OG0001114	K02959	RP-S16; small subunit ribosomal protein S16
cds1027	3.67528881547666	1.01807955829232	4.4280449621311	nonDEG			
cds1028	4.60901254158135	2.72783422980863	1.90253117393838	nonDEG	OG0002515		
cds1029	6.90470362253358	6.2247133060972	1.67269964966795	nonDEG	OG0000287	K00052	leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
cds103	4.10720167244549	3.76302889375433	2.32370883974528	nonDEG	OG0007617		
cds1030	6.25635466476923	6.3258717500513	0.769659495855366	nonDEG	OG0000682	K01649	leuA; 2-isopropylmalate synthase [EC:2.3.3.13]
cds1031	7.10987452912654	6.00412688943819	2.15182789043185	up	OG0000574	K01704	leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]
cds1032	11.5702013128752	8.84428057344981	3.54981960969395	up	OG0000485	K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]
cds1033	5.72663912284129	4.50301064438235	2.09350885572813	nonDEG	OG0000094	K18954	pobR; AraC family transcriptional regulator, transcriptional activator of pobA
cds1034	5.09624499552778	2.06687018236495	3.52688928097342	nonDEG	OG0000150		
cds1035	8.33389576011623	9.81945617159652	-0.702069663961911	nonDEG	OG0000225	K02337	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]
cds1036	7.16466313868718	8.44479609154213	-0.497625503279713	nonDEG			
cds1037	7.46086648586134	6.89794705722512	1.41126594920868	nonDEG	OG0000083	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
cds1038	7.20747577681464	7.9193027586614	0.117152869753492	nonDEG	OG0000731	K01354	ptrB; oligopeptidase B [EC:3.4.21.83]
cds1039	5.07283717479079	5.98788217849553	0.130717752464225	nonDEG	OG0002015	K02014	TC.FEV.OM; iron complex outermembrane recepter protein
cds104	3.42822039396177	1.56687018236495	3.18229160414875	nonDEG			
cds1040	5.50951393071924	6.28650972674373	-0.488108682406403	nonDEG	OG0005768		
cds1041	6.79610404327784	6.21134975488864	1.35767053151259	nonDEG			
cds1042	6.15121042050511	5.77212895173489	1.09569124545355	nonDEG	OG0005146		
cds1043	8.68086746379303	9.12941585677091	0.312708547123581	nonDEG	OG0000467	K01775	alr; alanine racemase [EC:5.1.1.1]
cds1044	11.2895925244148	10.2356209344021	1.79322866068792	up	OG0000676	K03282	mscL; large conductance mechanosensitive channel
cds1045	7.47748651130218	8.78520642314911	-0.54778344849452	nonDEG	OG0000413	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
cds1047	3.34218673886668	2.11566080643758	4.35280073180266	nonDEG			
cds1049	2.70423895344992	1.01807955829232	3.7558755126875	nonDEG	OG0005763		
cds105	5.92970278638886	4.67836691493822	2.1773284010792	up	OG0001561	K19294	algI; alginate O-acetyltransferase complex protein AlgI
cds1052	8.5009804399775	7.48078950301979	1.74885066519792	up			
cds1053	4.89264771433655	6.77923245381669	-0.109395664921253	nonDEG	OG0000918	K07400	nfuA; Fe/S biogenesis protein NfuA
cds1054	7.41702327508553	9.39167058896589	-1.16509986720128	nonDEG	OG0000915	K03593	mrp; ATP-binding protein involved in chromosome partitioning
cds1055	7.17189418561193	4.70623997482859	3.6685903757361	up	OG0001951	K21470	ycbB; L,D-transpeptidase YcbB
cds1056	6.40343033918913	4.08906724204418	3.44708759633338	up	OG0002870	K02004	ABC.CD.P; putative ABC transport system permease protein
cds1057	5.12792461280763	3.4859536791356	2.9365807420679	nonDEG	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1058	4.15901043656971	2.76007108088373	1.26324956004773	nonDEG	OG0003685	K02005	ABC.CD.TX; HlyD family secretion protein
cds1059	6.10105295971086	6.46616849189272	0.413800636998214	nonDEG	OG0000007	K02667	pilR; two-component system, NtrC family, response regulator PilR
cds106	4.4996826626876	6.83125772337588	-1.28852405607551	nonDEG	OG0006960		
cds1060	4.29967005562651	2.28839191445745	2.91051260030557	nonDEG	OG0002851	K13598	ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]
cds1061	5.22833047938153	3.99355098693076	1.97671009617266	nonDEG	OG0001331	K07443	ybaZ; methylated-DNA-protein-cysteine methyltransferase related protein
cds1062	4.58256806341464	3.1500460813645	0.40287688527324	nonDEG	OG0007066		
cds1063	3.39803408497203	5.119009613234	-1.55721151991512	nonDEG	OG0001022	K03439	trmB; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]
cds1064	10.4522017234307	8.22123272385665	2.98829011565168	up	OG0000465	K03320	amt; ammonium transporter, Amt family
cds1065	3.58681548190212	3.60304205901347	1.63488716374454	nonDEG	OG0007635		
cds1066	9.62004924319845	10.5122919144152	-0.0513776558806763	nonDEG	OG0007514		
cds1067	8.14917812323397	4.76007108088373	4.09138934347818	up	OG0002450		
cds1069	3.24014615101915	4.01170024827155	-0.0372292272107521	nonDEG			
cds107	3.44172471898101	5.14247272253114	-1.64786197017195	nonDEG	OG0006759	K13665	gumL; pyruvyltransferase
cds1070	6.03829660055597	7.24308837917642	-0.376856037158964	nonDEG	OG0000202	K07708	glnL; two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]
cds1071	5.96355582237673	6.66998006258684	-0.330203639171778	nonDEG	OG0001442	K00558	DNMT1; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
cds1072	6.54430757266725	4.93939897693986	2.74168856793388	up	OG0007037		
cds1073	6.05166857070626	5.4846301263182	1.88927720851248	nonDEG	OG0000092	K03671	trxA; thioredoxin 1
cds1074	4.72282361395759	2.62172524779078	2.8382069078981	nonDEG	OG0000010	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
cds1075	3.46764536516993	4.41916438871703	0.229121301880253	nonDEG	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
cds1078	6.11132958059743	5.85520515383781	1.00769267613899	nonDEG	OG0004090	K01256	pepN; aminopeptidase N [EC:3.4.11.2]
cds1079	5.19025064063588	3.76007108088373	0.495180940438664	nonDEG	OG0000260		
cds108	4.99194192131012	6.81376858341117	-1.04497133456134	nonDEG	OG0003439	K15898	pseI; pseudaminic acid synthase [EC:2.5.1.97]
cds1081	5.39418200902816	5.88490312944757	-0.0451130675347958	nonDEG	OG0000189		
cds1082	4.47646943562366	5.36466481128941	0.0602166280355017	nonDEG	OG0002560		
cds1083	4.01115987684661	7.20501505692306	-1.58226823481763	nonDEG	OG0000117	K03543	emrA; membrane fusion protein, multidrug efflux system
cds1084	5.11593151377244	4.6413564774753	1.35807057527049	nonDEG			
cds1085	4.76946703433908	5.61605643935555	-0.533787830485859	nonDEG	OG0000100	K19270	yfbT; sugar-phosphatase [EC:3.1.3.23]
cds1086	5.89713467854815	1.56687018236495	5.46219026825175	up	OG0003554	K00570	pmtA; phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71]
cds1087	8.90359182869058	5.48002819314319	3.76756607092014	up			
cds1088	4.94513814279935	2.42673774755039	1.59396333103055	nonDEG	OG0000016	K07729	putative transcriptional regulator
cds1089	4.50930451062183	1.76007108088373	2.89486570210817	nonDEG			
cds109	7.02263887510671	8.34671780839656	-0.437153169438585	nonDEG	OG0001307	K03270	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
cds1090	7.92700923415153	8.87847125456323	-0.144458290174249	nonDEG	OG0001732		
cds1091	8.36481627148041	3.30802314414197	5.59643687114002	up	OG0007727		
cds1092	8.36262060938651	7.98655528383888	1.18251114937943	nonDEG	OG0005436		
cds1093	6.16001353281355	7.38301193247539	-0.245522283266511	nonDEG	OG0001656		
cds1094	7.8922259861492	10.1232565859301	-1.44788582700131	down	OG0001590	K01610	E4.1.1.49; phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
cds1095	5.45023537891241	3.28839191445745	2.84130783180052	up	OG0003276	K01083	E3.1.3.8; 3-phytase [EC:3.1.3.8]
cds1096	4.13962587979294	3.1500460813645	1.7400527661375	nonDEG	OG0000240		
cds1097	6.00751491301261	2.63106684217943	4.89764182631156	up	OG0004675		
cds1098	8.29202853743552	8.90383695862797	0.195470232788846	nonDEG	OG0004096		
cds1099	2.03757228678326	5.04398742802241	-1.09486487675493	nonDEG	OG0001400		
cds11	8.51715365363672	9.45425710288232	-0.186216362608862	nonDEG	OG0001208	K03572	mutL; DNA mismatch repair protein MutL
cds110	3.71933229764456	4.548845152299	-0.904586629292415	nonDEG			
cds1100	3.75444905747948	4.71065409468908	0.851070689281978	nonDEG	OG0001735		
cds1101	5.17685645841189	5.88435943425459	0.145151494657467	nonDEG	OG0002269	K07130	kynB; arylformamidase [EC:3.5.1.9]
cds1102	6.12626347696955	5.98399180966526	1.09727113016831	nonDEG			
cds1103	4.59330185131837	4.3957012794199	1.02676615200665	nonDEG	OG0000718		
cds1104	5.4354676367068	5.40315721709605	0.907345511970354	nonDEG	OG0001220	K01159	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]
cds1105	3.95586812083774	4.13151169083743	1.24977736105422	nonDEG	OG0006969		
cds1106	4.12650113368156	2.42673774755039	2.30105632120325	nonDEG	OG0004651	K00720	UGCG; ceramide glucosyltransferase [EC:2.4.1.80]
cds1107	7.90337896821687	7.33904787144684	1.2407527821685	nonDEG			
cds1108	4.0749576748746	2.37475746846738	3.2903860537011	nonDEG	OG0003179	K09793	uncharacterized protein
cds1109	4.59484237056516	7.01683859906711	-1.6015584600728	nonDEG			
cds111	3.62381577262401	4.34000765317968	1.02944161321094	nonDEG	OG0002304		
cds1110	5.24799100444829	7.97181651765689	-1.70245761864255	down	OG0000112	K06178	rluB; 23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]
cds1111	6.44276753809307	5.59666274899271	1.55167056666845	nonDEG	OG0005764	K03179	ubiA; 4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
cds1112	3.74397293729087	4.46983208653205	-0.657080830804851	nonDEG	OG0002850		
cds1113	6.60250333844991	6.97682655718379	0.380881613308963	nonDEG	OG0007575	K00869	E2.7.1.36; mevalonate kinase [EC:2.7.1.36]
cds1114	4.74695977913361	3.81671274803116	1.59326225265084	nonDEG			
cds1115	7.50775706207445	8.67432882473891	-0.25258955390068	nonDEG	OG0005110	K01597	MVD; diphosphomevalonate decarboxylase [EC:4.1.1.33]
cds1117	3.73950384145745	2.76007108088373	1.78559946137357	nonDEG	NA	NA	NA
cds1118	5.05022717614308	4.55751022180998	1.25924203434917	nonDEG	OG0001617		
cds1119	2.86652918620913	4.92933596094996	-1.57619131600412	nonDEG	OG0000496	K01091	gph; phosphoglycolate phosphatase [EC:3.1.3.18]
cds112	4.66808697730167	5.07716598587272	-0.184201467860813	nonDEG	OG0000313	K20534	gtrB; polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-]
cds1120	5.10720167244549	6.29669484327667	-0.394824199686638	nonDEG	OG0001160		
cds1121	8.29496446306931	8.15840029506667	1.02435755346795	nonDEG	OG0000152	K01126	E3.1.4.46; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
cds1122	11.4976601978495	9.09263147662925	3.17435772450716	up	OG0001739	K21575	susA; neopullulanase [EC:3.2.1.135]
cds1123	7.55301046781288	8.15411684367413	0.188836761473953	nonDEG	OG0001739	K21575	susA; neopullulanase [EC:3.2.1.135]
cds1124	8.47775739129358	9.27996893557283	-0.0365445637488469	nonDEG	OG0003188	K21574	susB; glucan 1,4-alpha-glucosidase [EC:3.2.1.3]
cds1125	6.92610448934646	7.77782012285454	-0.0408080347076199	nonDEG	OG0003103	K00691	mapA; maltose phosphorylase [EC:2.4.1.8]
cds1126	3.76306371826973	2.35935143272553	2.11877893460544	nonDEG	OG0000100	K19270	yfbT; sugar-phosphatase [EC:3.1.3.23]
cds1127	6.50808746287547	4.88217848563233	2.07349568732291	up	OG0002298	K16211	malY; maltose/moltooligosaccharide transporter
cds1128	10.149907914174	8.61378834951042	2.27776597253717	up	OG0000013	K02529	lacI; LacI family transcriptional regulator
cds1129	6.56973176560158	5.36997865924575	2.08153311987026	up	OG0000068	K21573	susC; TonB-dependent starch-binding outer membrane protein SusC
cds113	5.80430672802747	4.43419368522654	1.95559883101357	nonDEG	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
cds1130	4.92079141459822	5.35494936273623	-0.397661375974524	nonDEG	OG0004681	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
cds1131	5.38200671701979	4.52647375367949	1.67371315675743	nonDEG	OG0004682	K21571	susE_F; starch-binding outer membrane protein SusE/F
cds1132	4.9240566350585	2.62172524779078	2.84587253815038	nonDEG	OG0007516		
cds1134	7.264172282881	3.81671274803116	4.11519198893855	up	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
cds114	4.50846622171814	4.69585605490293	0.00867461712048627	nonDEG	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]
cds1140	7.48909122976492	7.0406334768127	1.2509591224658	nonDEG	OG0000231	K03657	uvrD; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]
cds1141	7.365882347774	5.61415188895742	2.47161535168748	up	OG0003731		
cds1142	9.39035706890663	3.34000765317968	7.75634047463294	up			
cds1143	7.88673826591306	4.25735544632695	4.03929764710027	up	OG0000103	K22044	ybiO; moderate conductance mechanosensitive channel
cds1145	5.7781451037378	3.73143537864244	4.83710834668647	up	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
cds1147	3.80959520392999	1.76007108088373	2.07656311239402	nonDEG	OG0002105		
cds1149	3.9703609997267	3.24654828709616	1.05861848629468	nonDEG	OG0001618		
cds115	5.16191319792496	4.46291256647645	1.16157321129993	nonDEG			
cds1150	4.74682976288806	4.5771414514945	0.307476246838218	nonDEG	OG0001618		
cds1152	6.71399135820907	4.72903461275323	2.50684564649001	up	OG0001271		
cds1153	3.0065831458055	2.56687018236495	1.43085959133389	nonDEG	OG0000409	K04084	dsbD; thiol:disulfide interchange protein DsbD [EC:1.8.1.8]
cds1154	3.51217873552324	3.48337941469783	-1.0254749036651	nonDEG	OG0001141	K06889	uncharacterized protein
cds1155	3.76780014065296	4.02918938823626	0.951015827389596	nonDEG	OG0005502		
cds1156	2.40128824946932	3.11566080643758	2.656685131358	nonDEG	OG0002872	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
cds1157	5.97195181458694	2.14647287792128	5.54718680487541	up	OG0003213		
cds1159	4.01181354800514	3.34000765317968	2.29193400072718	nonDEG	OG0000019	K03088	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
cds116	3.47161238994034	2.56687018236495	2.38235587331848	nonDEG	OG0006920	K16563	exoV; succinoglycan biosynthesis protein ExoV
cds1160	7.58533877742975	5.85980708701282	2.18093243450045	up	OG0007096		
cds1161	8.54917843527243	6.44831866913381	2.86456386398666	up	OG0004461		
cds1162	7.32910746834677	5.61415188895742	2.41311514049652	up	OG0003971	K16167	bpsA; alkylresorcinol/alkylpyrone synthase
cds1163	6.77358964719793	4.707521195355	2.75019919870593	up	OG0000873	K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]
cds1164	8.68780501013897	7.03693424051826	2.38525805701117	up	OG0007095		
cds1166	4.41629702298459	2.60304205901347	3.09249682512411	nonDEG	OG0007094		
cds1167	5.53070636823253	2.92354809254001	3.19161231329177	nonDEG			
cds1168	5.63472218441643	2.95505858112411	2.72467460463735	nonDEG	OG0001154		
cds1169	4.66174148731087	2.95505858112411	2.28524464705918	nonDEG	OG0003218		
cds117	5.02620396160192	6.87460512679897	-1.6843411024533	nonDEG			
cds1170	5.18377597846749	4.45234294656734	1.55315608388673	nonDEG	OG0001169	K03650	mnmE; tRNA modification GTPase [EC:3.6.-.-]
cds1171	9.38885448241247	6.0509627076406	4.22058871768473	up	OG0002994		
cds1172	5.80430672802747	5.52187182050448	1.23940674920616	nonDEG	OG0007097		
cds1173	5.23255978702364	5.73980837510586	0.127745724539789	nonDEG	OG0000590	K03316	TC.CPA1; monovalent cation:H+ antiporter, CPA1 family
cds1174	9.04932677801557	11.031570084809	-1.02917194447548	nonDEG	OG0000437	K00525	E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]
cds1175	7.19565061504439	10.3512878605559	-2.02828744565657	down	OG0000422	K00526	E1.17.4.1B; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]
cds1176	5.68314671271662	8.108085032846	-1.47268060358946	nonDEG	OG0007017		
cds1177	4.29382551236493	5.61415188895742	-0.598116385720402	nonDEG	OG0006985		
cds1178	5.22020875224957	7.69460488466194	-2.34354522090794	nonDEG	OG0000659	K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
cds1179	3.65182570617952	3.65183268308611	1.41624726733979	nonDEG	OG0000989	K03734	apbE; FAD:protein FMN transferase [EC:2.7.1.180]
cds118	5.99560984574701	7.03313147387027	0.0611136007793363	nonDEG	OG0000474	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
cds1180	6.57411242078937	2.63106684217943	5.57799867819577	up	OG0000268	K19267	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
cds1181	5.17177798262328	3.20071377917951	2.06576855604881	nonDEG	OG0000035		
cds1183	4.09343893628195	3.20071377917951	1.58345509315363	nonDEG	OG0002065		
cds1184	4.28531381499588	2.01807955829232	4.06329058066206	nonDEG	OG0004112		
cds1185	5.43961548325066	5.26266929428329	1.31310292731715	nonDEG	OG0001476		
cds1186	7.52938675749224	5.84586702844794	2.50953975787551	up	OG0001131		
cds1187	5.30692389271261	6.80493333200518	-0.730164796167955	nonDEG	OG0000146	K05349	bglX; beta-glucosidase [EC:3.2.1.21]
cds1188	6.60322025657411	8.69923168099544	-1.09546143939598	nonDEG			
cds1189	6.10660359323031	8.02581470820278	-1.02876890206781	nonDEG	OG0002300	K01206	FUCA; alpha-L-fucosidase [EC:3.2.1.51]
cds119	5.93985856646171	5.87483638352233	0.885976722303141	nonDEG	OG0000665	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
cds1190	5.33994174589475	4.21551181896567	1.95400961481468	nonDEG	OG0002804	K12308	bgaB; beta-galactosidase [EC:3.2.1.23]
cds1191	5.50687704605985	6.40130404198208	-0.0480730472792338	nonDEG	OG0001350	K12373	HEXA_B; hexosaminidase [EC:3.2.1.52]
cds1192	7.17755901273255	8.412055581446	-0.425846905264988	nonDEG	OG0004106	K01444	AGA; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
cds1193	5.92129085692752	4.79099012785701	1.75129504626887	nonDEG			
cds1194	4.3352686439301	3.60304205901347	2.11397543792525	nonDEG	OG0005460		
cds1195	4.99791219741874	2.56687018236495	3.00639646789143	nonDEG			
cds1197	7.0097737163527	3.73143537864244	6.06123370519384	up	OG0002563		
cds1198	6.81548519639084	5.78922536130051	1.79402605823984	up	OG0000166	K08082	algZ; two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]
cds1199	5.48881301260532	4.20071377917951	1.75954210598496	nonDEG	OG0000105	K08083	algR; two-component system, LytTR family, response regulator AlgR
cds12	5.49884878291049	7.04638851780071	-0.657650079856231	nonDEG	OG0000953	K00794	ribH; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
cds120	6.58038416476083	7.33062673873851	0.081351753571873	nonDEG	OG0001295		
cds1200	6.52472098080831	4.11566080643758	5.12289075805594	up	OG0002082	K02564	nagB; glucosamine-6-phosphate deaminase [EC:3.5.99.6]
cds1201	5.98375284743036	3.42354809254001	3.59413362187038	up	OG0004002	K01206	FUCA; alpha-L-fucosidase [EC:3.2.1.51]
cds1202	7.36794219514058	4.77849855938412	3.24954462553977	up	OG0004009		
cds1203	6.64401374731797	5.73165736053101	1.58499303694817	nonDEG	OG0000094	K18954	pobR; AraC family transcriptional regulator, transcriptional activator of pobA
cds1204	2.58635996857836	2.5822762181068	2.10817123154742	nonDEG			
cds1206	3.49868183330042	3.82543448034992	1.94305176929501	nonDEG	OG0007577	K05982	E3.1.21.7; deoxyribonuclease V [EC:3.1.21.7]
cds1207	5.10412973506204	1.5822762181068	4.68981677124521	up	OG0002096	K01190	lacZ; beta-galactosidase [EC:3.2.1.23]
cds1208	6.07263473389242	4.86738044584618	1.99486774832852	up	OG0006996		
cds1209	6.48291273989925	4.61415188895742	2.5309144780405	up	OG0006997		
cds121	4.59443204771863	7.40546368840931	-1.85394703159581	down	OG0001335	K00973	E2.7.7.24; glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
cds1210	4.62175976985566	1.5822762181068	4.19476899315226	up	OG0007018		
cds1211	4.73421248167465	2.85935143272553	3.09180382106907	nonDEG	OG0002065		
cds1212	5.40786261339362	4.22417688847665	1.78073451860258	nonDEG	OG0002539	K05989	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]
cds1213	8.23612320625525	5.45456418999434	3.47331180539689	up	OG0004485		
cds1214	5.49993254492079	3.80316541986538	2.43835725283631	up	OG0002303	K15923	AXY8; alpha-L-fucosidase 2 [EC:3.2.1.51]
cds1215	4.80594011086526	2.56687018236495	3.26072662857509	nonDEG	OG0007106		
cds1216	6.03070636823253	2.28839191445745	3.49114485775972	nonDEG	OG0002539	K05989	ramA; alpha-L-rhamnosidase [EC:3.2.1.40]
cds1217	6.14048386101421	4.95505858112411	1.96722937065035	up	OG0006990		
cds1218	4.59736498765434	4.14691772657928	1.9540042369388	nonDEG	OG0005517		
cds1219	4.87644348246791	2.76007108088373	2.62689920480261	nonDEG	OG0001333	K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]
cds122	6.08844412704179	7.95181408120213	-0.849293120872336	nonDEG	OG0000769	K00067	rfbD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
cds1220	6.75256686976577	5.49329519582918	1.9258236432576	up	OG0005438		
cds1221	7.40954564528876	4.78567627990067	3.21314969315267	up	OG0006991		
cds1222	5.18337405755235	3.37475746846738	3.39840613167029	up	OG0003207		
cds1223	8.86731318246743	5.81336152647652	3.91925215246618	up	OG0006994		
cds1224	5.99194192131012	4.96497436225546	1.9299304144431	nonDEG	OG0003207		
cds1225	6.95483170729595	5.15996186249585	2.55423906223798	up	OG0006992	K21572	susD; starch-binding outer membrane protein, SusD/RagB family
cds1226	7.41535500856035	3.1500460813645	4.83190517395879	up	OG0006993		
cds1228	4.69065428700647	2.62172524779078	2.85478673039001	nonDEG	OG0003627	K09955	uncharacterized protein
cds1229	5.08758614582051	3.3957012794199	2.49301166303735	nonDEG	OG0003207		
cds123	2.77521314135703	5.3031899542436	-3.27934688511433	nonDEG	OG0000768	K01790	rfbC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]
cds1230	3.93246467499561	2.63106684217943	2.28335883612081	nonDEG	OG0007108		
cds1231	5.59769637506631	3.22783422980863	3.76019263008595	up	OG0002561	K05970	SIAE; sialate O-acetylesterase [EC:3.1.1.53]
cds1232	5.7389461049589	3.0822762181068	2.84012695682331	nonDEG	OG0005516		
cds1233	5.34449321017995	2.86738044584618	3.12281423334192	up	OG0002552	K01190	lacZ; beta-galactosidase [EC:3.2.1.23]
cds1235	5.49743832366504	1.01807955829232	6.09328958149649	up			
cds1236	5.71674904527968	2.35935143272553	3.83856045949274	nonDEG	OG0006988		
cds1237	4.98504878485956	4.99815292010577	-0.254880491327298	nonDEG	OG0000189		
cds1238	6.64402772917056	6.33746022277152	1.17602184399675	nonDEG	OG0000811	K08223	fsr; MFS transporter, FSR family, fosmidomycin resistance protein
cds124	5.25965982105759	6.09434275275274	-0.0580854044810388	nonDEG	OG0000211	K02805	wecE; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]
cds1240	3.40617050812412	2.37475746846738	2.02016824982898	nonDEG	OG0000122	K14393	actP; cation/acetate symporter
cds1241	5.18908982642383	3.34503358160488	2.31669282515707	nonDEG	OG0005418		
cds1242	5.80310297684334	4.3031899542436	2.20171649896535	up	OG0006989		
cds1243	5.57878660974499	2.53404711251285	3.54927270785518	up	OG0001333	K01184	E3.2.1.15; polygalacturonase [EC:3.2.1.15]
