	S763_Col	S763_TSB	S763_FC	DEG	OG	KO.id	KO.description
cds1085	5.32999218526532	5.71661516131169	0.417556391381415	nonDEG	OG0003618	K02551	menD; 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]
cds1086	2.84551089578391	2.9615351195714	-1.20009370139484	nonDEG	OG0005127		
cds1087	6.72940230881947	8.86429274268192	-1.33071729779164	nonDEG	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1088	6.6512472242738	8.70547693260946	-0.959820496209539	nonDEG	OG0000026	K02029	ABC.PA.P; polar amino acid transport system permease protein
cds1089	10.4667876041557	11.2747423189032	-0.112584915112415	nonDEG	OG0000062	K02030	ABC.PA.S; polar amino acid transport system substrate-binding protein
cds109	5.59087324145227	4.02300997661721	2.5750211439743	nonDEG			
cds1090	7.96792885511476	7.67907294616572	1.10219480483115	nonDEG	OG0000139	K01657	trpE; anthranilate synthase component I [EC:4.1.3.27]
cds1091	10.0219837254691	9.78759435771385	1.01812996805536	nonDEG	OG0000747	K03183	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]
cds1092	7.35021156710296	8.470124213151	-0.289220340347546	nonDEG	OG0002222	K21401	menJ; menaquinone-9 beta-reductase [EC:1.3.99.38]
cds1093	7.31163168419828	8.79021570215638	-0.603027898842815	nonDEG	OG0000686	K02523	ispB; octaprenyl-diphosphate synthase [EC:2.5.1.90]
cds1095	6.96599589709947	8.70801586403497	-0.692999550890027	nonDEG			
cds1096	3.68416588011801	4.32345091595692	0.139805188692285	nonDEG	OG0000671		
cds1097	4.64404562048689	5.3757500680257	-0.49239502941897	nonDEG	OG0003951	K03795	cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
cds1098	6.0477230815157	9.83741397048995	-3.13640699471082	nonDEG	OG0001199	K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]
cds1099	5.41316538505176	7.9180702949911	-1.52393025358169	nonDEG	OG0001133	K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]
cds11	5.10281454039091	4.74034434109889	1.4499119815902	nonDEG	OG0001176	K01770	ispF; 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]
cds110	5.14720773471811	5.61714616492633	-0.372010370666147	nonDEG	OG0001004	K06016	pydC; beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
cds1100	4.8810112146531	8.17405902513565	-3.0655772192542	down	OG0001191	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]
cds1101	4.39529579075149	7.23978789456585	-2.02568334358894	nonDEG	OG0001192	K00955	cysNC; bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]
cds1103	5.47914517758906	4.90252526330763	1.4057912314505	nonDEG	OG0001905	K14415	RTCB; tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]
cds1104	4.86974091269857	8.22836695306034	-3.33853075290712	down	OG0000135	K15553	ssuA; sulfonate transport system substrate-binding protein
cds1105	1.27265534374757	6.23890939530692	-5.51887524915334	down	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein
cds1106	3.64404562048689	4.54835310193426	-0.975915842925015	nonDEG	OG0002265	K02050	ABC.SN.P; NitT/TauT family transport system permease protein
cds1107	5.86751108860322	3.6279993453397	2.4133318921673	nonDEG	OG0004377		
cds1108	4.80817178216179	7.88945704814983	-2.91983677043364	nonDEG	OG0000221	K02303	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]
cds1109	6.23927785251307	9.41510478187445	-2.19188064226947	down	OG0005112	K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
cds111	5.42710544361664	4.69318152243661	1.68597942397266	nonDEG	OG0000176		
cds1110	5.81062533580843	5.08602125141388	1.96924661843676	nonDEG	OG0001511	K03168	topA; DNA topoisomerase I [EC:5.99.1.2]
cds1111	5.48160502104426	4.43465421593525	1.66731544353692	nonDEG	OG0002379		
cds1112	6.72744420112587	2.76654761933102	4.65619809512564	up			
cds1113	5.53165893658455	5.8973200935906	0.859466203964107	nonDEG	OG0000457	K02647	cdaR; carbohydrate diacid regulator
cds1114	9.33636797218133	10.4711784495255	-0.636899404652195	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
cds1115	7.89870946380525	9.24375633347264	-0.624692406256711	nonDEG	OG0000520	K07250	gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]
cds1116	3.98646274532085	3.67886948405308	1.29183963011659	nonDEG			
cds1117	7.50670106347901	6.80088635304289	1.52340198663542	nonDEG	OG0005098		
cds1118	5.44065277178242	4.00114719607468	2.28163958791056	nonDEG	OG0000363	K05786	rarD; chloramphenicol-sensitive protein RarD
cds1119	8.04848903107256	8.69558470566956	0.145214729520684	nonDEG	OG0005112	K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]
cds112	6.27265534374757	5.04647308591434	0.325458714831463	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
cds1120	5.23211794337625	4.84282051616298	1.8705104083332	nonDEG	OG0004013		
cds1121	4.74080754726545	4.34539951246142	1.15769219758212	nonDEG	OG0003961		
cds1122	10.611343245734	8.67290736866118	1.76662940330816	nonDEG	OG0000008	K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
cds1123	4.33334340681996	3.9210144596111	0.783000950282246	nonDEG	OG0003609	K09959	uncharacterized protein
cds1124	7.48972108009649	8.19985318270289	0.186808017458227	nonDEG	OG0000128	K03294	TC.APA; basic amino acid/polyamine antiporter, APA family
cds1125	8.07058600129619	6.9420066098857	1.3557349938403	nonDEG	OG0002101	K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein
cds1126	3.41504757276547	5.82095773562045	-1.61785337087758	nonDEG	OG0000125	K15554	ssuC; sulfonate transport system permease protein
cds1127	6.05088519574691	6.33223272292282	-0.0530363161718016	nonDEG	OG0000125	K15554	ssuC; sulfonate transport system permease protein
cds1128	7.57158424698475	6.65587150769416	0.921816886905767	nonDEG	OG0002064	K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein
cds1129	7.75727248073772	9.53321192690608	-0.915218732671884	nonDEG	OG0000104	K16568	exoZ; exopolysaccharide production protein ExoZ
cds113	5.44065277178242	4.7957018997478	1.75408491026985	nonDEG	OG0000264	K01652	E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
cds1130	8.91850685830056	9.86747272369371	0.00915705720014625	nonDEG	OG0000233	K03781	katE; catalase [EC:1.11.1.6]
cds1131	6.21622913216614	5.62607189447503	1.93322319745916	nonDEG	OG0000325	K03711	fur; Fur family transcriptional regulator, ferric uptake regulator
cds1132	6.21994265136788	6.1073368903405	1.02768092081671	nonDEG	OG0000145	K08225	entS; MFS transporter, ENTS family, enterobactin (siderophore) exporter
cds1133	5.04665349386812	5.2227972698778	0.624874926080808	nonDEG	OG0000884	K03799	htpX; heat shock protein HtpX [EC:3.4.24.-]
cds1134	7.38042862635698	7.78510669102797	0.434919333152623	nonDEG	OG0001329	K09767	yajQ; cyclic-di-GMP-binding protein
cds1136	5.35156437012632	4.91570061165476	0.477660090727085	nonDEG			
cds1137	5.36011818499791	5.1537824508768	-0.682850623860238	nonDEG	OG0006890		
cds1138	5.17064308633044	5.67539309188003	0.333783090665223	nonDEG	OG0001337	K21973	bluF; blue light- and temperature-responsive anti-repressor
cds1139	5.59458343863493	5.11235500558126	-0.22427564172295	nonDEG	OG0000033	K03790	rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]
cds114	5.14404562048689	4.37797944095631	0.270661668503284	nonDEG	OG0000017	K03762	proP; MFS transporter, MHS family, proline/betaine transporter
cds1140	5.30494251442121	2.63303497613644	1.8118476139465	nonDEG			
cds1141	5.63499827104796	2.96636830946977	2.58030614271033	nonDEG	OG0001611	K13282	cphB; cyanophycinase [EC:3.4.15.6]
cds1142	4.77398610511575	3.0208678868974	2.50564880874847	nonDEG	OG0000480	K07107	ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-]
cds1143	8.37260586618901	7.7535115775717	1.46643764729302	up	OG0000092	K03671	trxA; thioredoxin 1
cds1144	5.34814144660611	5.40917019578929	1.13883768436351	nonDEG	OG0000216		
cds1145	9.70362683976929	8.59313880833474	1.72114057116926	up	OG0000030	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]
cds1146	4.49229716161683	1.94673707978525	2.43557604821685	nonDEG	OG0005241		
cds1147	5.17954593935609	4.92855169191122	-0.429197207674973	nonDEG	OG0006183		
cds1149	5.85761784446872	4.6425580268687	0.477705373550988	nonDEG	OG0001012	K03893	arsB; arsenical pump membrane protein
cds115	4.28477841197741	4.82467125482218	-0.361462052420011	nonDEG			
cds1150	8.40946785532632	8.86009735450875	0.353009324754038	nonDEG	OG0000134	K01697	CBS; cystathionine beta-synthase [EC:4.2.1.22]
cds1151	7.26268455475519	8.00674995863687	0.0738565228400266	nonDEG	OG0000070	K01758	CTH; cystathionine gamma-lyase [EC:4.4.1.1]
cds1152	5.74224422688865	6.16825654430717	-0.0986173569289404	nonDEG			
cds1153	5.08672433751633	4.25785801544182	1.00748755861757	nonDEG	OG0000035		
cds1154	5.34434842589595	5.51981914602675	0.683959463489359	nonDEG	OG0001623		
cds1155	4.90898071665406	4.95071243522085	0.962247811226864	nonDEG	OG0000001	K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
cds1156	6.00746601116278	5.04672746219478	1.95557719838935	nonDEG	OG0001286	K00252	GCDH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
cds1157	5.57497432744184	5.66698310665056	0.77706802012553	nonDEG	OG0003620		
cds1158	8.20458524929026	9.33989899847577	-0.455349964120276	nonDEG	OG0000051	K05592	deaD; ATP-dependent RNA helicase DeaD [EC:3.6.4.13]
cds116	7.95059308729198	8.04842445238901	0.746998664228432	nonDEG	OG0006166		
cds1160	7.4427770501225	5.77665853065249	2.42364731767524	up	OG0001720		
cds1161	5.32850983260258	4.36852194151917	1.12063572918835	nonDEG	OG0003734		
cds1163	3.61995085413721	5.2129993415462	-0.234240668708851	nonDEG	OG0003734		
cds1164	5.84020433187627	5.70810412178427	0.344709467047443	nonDEG	NA	NA	NA
cds1165	4.4489045736523	2.8083912466923	0.652563976546735	nonDEG	NA	NA	NA
cds1166	8.2815350763294	8.62029941765524	0.506738322754937	nonDEG	NA	NA	NA
cds1167	3.28879892908439	3.92670563073074	0.575240212416054	nonDEG	OG0005091		
cds1168	8.689700771178	7.75387288380609	1.72494619699266	up	OG0000301	K05343	treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
cds1169	6.01449422129606	3.62495246072088	1.98794525189277	nonDEG	OG0003642		
cds117	7.21994265136788	7.72466299486464	0.315927554728285	nonDEG			
cds1170	7.71324122510022	7.75100818351395	0.879837863848131	nonDEG	OG0001757	K01644	citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]
cds1171	4.30817178216179	4.94019628861435	-0.48615162886207	nonDEG	NA	NA	NA
cds1172	3.99229716161683	5.09022126367376	-0.754145173175215	nonDEG			
cds1173	4.22004716720942	6.479259627164	-1.94837173631203	nonDEG	OG0001537	K03321	TC.SULP; sulfate permease, SulP family
cds1175	7.65140884361559	7.72665865424923	0.739748422855996	nonDEG	OG0005163		
cds1176	5.14404562048689	4.59527254736007	0.73094520793089	nonDEG	OG0000564		
cds1177	5.97394448730877	5.45123984358295	0.737058233128007	nonDEG	OG0000685		
cds1178	5.6666767401533	6.4127474377763	0.0443406875922774	nonDEG	OG0000804	K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
cds1179	6.18855374764304	2.842755744347	3.76339253418695	up			
cds118	6.17589295814559	5.01206617912809	1.3107183332716	nonDEG			
cds1181	7.82087256525875	8.81117596286118	-0.130101423704417	nonDEG	OG0000413	K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
cds1182	3.59458343863493	3.65189615225856	-0.641206126412712	nonDEG			
cds1183	3.80502257324624	4.37469043113653	0.763247187161221	nonDEG			
cds1184	5.1579871362641	5.56542669019484	1.03650921068358	nonDEG			
cds1185	7.20382164418074	6.89243167360533	1.16067704617131	nonDEG			
cds1186	6.76143960633714	7.44721932899891	0.205051310351206	nonDEG	OG0004436		
cds1187	2.27265534374757	4.46122425095016	-2.92882527457289	nonDEG			
cds1188	6.72710684695773	7.62214562510613	-0.0483693523798475	nonDEG	OG0000836	K00287	DHFR; dihydrofolate reductase [EC:1.5.1.3]
cds1189	8.29448672980848	9.58212272731338	-0.427179763264114	nonDEG	OG0000582	K00560	thyA; thymidylate synthase [EC:2.1.1.45]
cds119	6.7321728365403	8.26516220343736	-0.527290675654277	nonDEG	OG0001116	K00773	tgt; queuine tRNA-ribosyltransferase [EC:2.4.2.29]
cds1190	6.23211794337625	6.87689048647046	0.205221251889557	nonDEG	OG0000055	K03574	mutT; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]
cds1191	8.30877540508033	9.21071089811235	-0.0898362162614013	nonDEG	OG0000721	K00937	ppk; polyphosphate kinase [EC:2.7.4.1]
cds1192	6.3506245035172	6.18077459570667	0.617543704349929	nonDEG	OG0006337	K15520	mshD; mycothiol synthase [EC:2.3.1.189]
cds1193	7.5365568982989	8.2211618971117	0.146248218881037	nonDEG	OG0006336		
cds1194	6.20524393616676	7.07326422473568	-0.642286999262651	nonDEG			
cds1195	8.51922447003638	9.33662999719509	0.114469124230563	nonDEG	OG0006256		
cds1196	8.83455961635915	8.09746102997708	1.58600984519485	up	OG0004144		
cds1197	7.82107132465276	6.50067341958599	2.13694511443177	up	OG0001546	K06980	ygfZ; tRNA-modifying protein YgfZ
cds1198	6.46570352975487	5.24146058615473	2.26795886129423	nonDEG	OG0000239	K06867	uncharacterized protein
cds1199	7.88420875326626	6.65343577848477	1.94198478083753	up	OG0000038	K03446	emrB; MFS transporter, DHA2 family, multidrug resistance protein
cds12	7.21245316771515	6.57911325650838	1.47518774162004	nonDEG	OG0001419	K00991	ispD; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
cds120	6.39918775722535	5.26350803841847	1.31440963152565	nonDEG	NA	NA	NA
cds1200	6.39411086779253	6.29817763808062	1.08772246723176	nonDEG	OG0005113		
cds1201	7.97783752132326	7.66812830099024	1.11486310314265	nonDEG	OG0001608	K00850	pfkA; 6-phosphofructokinase 1 [EC:2.7.1.11]
cds1202	1.27265534374757	3.29240978788671	-2.1306570546013	nonDEG	OG0001471	K03973	pspC; phage shock protein C
cds1204	7.88040409197876	5.24056920805529	3.40561674361069	up	OG0001471	K03973	pspC; phage shock protein C
cds1205	6.63869184373717	5.2523619745123	2.29329517552025	up	OG0001471	K03973	pspC; phage shock protein C
