	D36E_col_1	D36E_col_2	D36E_col_3	D36E_vitro_1	D36E_vitro_2	D36E_vitro_3
PSPTO_0128-porphobilinogen deaminase 	22	40	200	213	223	188
PSPTO_0129-uroporphyrinogen-III synthase 	21	22	195	232	198	238
PSPTO_0130-uroporphyrin-III C-methyltransferase 	29	164	403	618	653	571
PSPTO_0131-hemY protein 	35	37	277	597	551	626
PSPTO_0132-DsbB family protein 	4	0	3	24	12	34
PSPTO_0133-hypothetical protein 	0	0	2	4	0	3
PSPTO_0134-transcriptional regulator AlgQ 	27	117	377	765	385	718
PSPTO_0135-FKBP-type peptidyl-prolyl cis-trans isomerase 	24	12	136	371	331	481
PSPTO_0136-alginate regulatory protein AlgR3 	298	535	1956	1028	747	1292
PSPTO_0137-hypothetical protein 	0	3	12	6	6	9
PSPTO_0138-ABC transporter ATP-binding protein 	35	58	283	967	800	967
PSPTO_0139-hypothetical protein 	7	10	34	217	317	303
PSPTO_0140-homoserine/homoserine lactone efflux protein 	3	22	52	257	323	305
PSPTO_0141-lead uptake protein 	3	15	100	265	399	283
PSPTO_0142-hypothetical protein 	0	0	0	23	15	12
PSPTO_0143-hypothetical protein 	0	0	0	4	2	2
PSPTO_0144-oligopeptidase A 	58	150	619	754	585	720
PSPTO_0145-hypothetical protein 	36	138	446	596	436	802
PSPTO_0146-hypothetical protein 	1	0	4	18	18	21
PSPTO_0147-hypothetical protein 	12	7	47	958	996	1158
PSPTO_0148-oligopeptide transporter 	0	0	3	52	53	49
PSPTO_0149-hypothetical protein 	16	59	177	312	258	331
PSPTO_0150-lipoprotein 	0	11	6	27	25	26
PSPTO_0151-hypothetical protein 	26	54	122	37	34	17
PSPTO_0152-osmotically inducible protein 	145	535	1115	114	80	103
PSPTO_0153-luciferase family protein 	1	18	81	116	111	182
PSPTO_0154-hypothetical protein 	17	50	344	88	133	82
PSPTO_0155-hypothetical protein 	17	101	280	54	77	73
PSPTO_0156-hypothetical protein 	774	1625	4519	758	402	1025
PSPTO_0157-trpBA operon transcriptional activator 	10	27	49	51	31	30
PSPTO_0158-tryptophan synthase subunit beta 	155	425	1192	386	260	439
PSPTO_0159-tryptophan synthase subunit alpha 	67	124	453	275	214	302
PSPTO_0161-hypothetical protein 	13	7	55	13	25	19
PSPTO_0162-3-oxoadipate enol-lactone hydrolase family protein 	12	81	166	212	145	233
PSPTO_0163-hypothetical protein 	6	4	12	67	40	69
PSPTO_0164-LysR family transcriptional regulator 	6	12	36	82	50	122
PSPTO_0165-sulfatase family protein 	60	141	514	579	493	761
"PSPTO_0166-glycine/betaine family, ABC transporter, substrate-binding protein "	16	52	87	139	85	101
PSPTO_0167-hypothetical protein 	49	182	388	300	175	269
PSPTO_0168-sulfate transporter family protein 	5	27	66	200	173	205
PSPTO_0169-shikimate 5-dehydrogenase 	3	5	17	79	92	79
PSPTO_0170-coproporphyrinogen III oxidase 	6	7	49	68	56	72
PSPTO_0171-coproporphyrinogen III oxidase 	0	0	0	0	0	0
PSPTO_0172-coproporphyrinogen III oxidase 	0	3	5	6	5	2
PSPTO_0173-coproporphyrinogen III oxidase 	6	24	50	52	30	34
PSPTO_0174-SUA5/yciO/yrdC family domain protein 	7	20	163	122	115	163
PSPTO_0175-DNA processing protein DprA 	6	23	35	137	79	125
PSPTO_0176-LysM domain-containing protein 	25	55	237	231	207	256
PSPTO_0177-polypeptide deformylase 	27	35	188	456	434	513
PSPTO_0178-methionyl-tRNA formyltransferase 	1	16	54	262	206	219
PSPTO_0179-sun protein 	16	24	83	287	212	322
PSPTO_0180-Trk system potassium uptake protein TrkA 	6	16	73	249	309	304
PSPTO_0181-molybdopterin oxidoreductase subunit alpha 	6	6	32	33	56	58
PSPTO_0182-lipid A biosynthesis lauroyl acyltransferase 	13	43	99	137	121	138
PSPTO_0183-DNA-3-methyladenine glycosidase I 	0	0	21	20	25	41
PSPTO_0184-glycyl-tRNA synthetase subunit alpha 	64	165	610	996	831	1187
PSPTO_0185-glycyl-tRNA synthetase subunit beta 	24	52	230	482	593	518
"PSPTO_0186-D,D-heptose 1,7-bisphosphate phosphatase "	13	32	102	193	214	189
PSPTO_0187-hdtS protein 	2	0	13	70	40	52
PSPTO_0189-nitrilase 	4	3	12	18	16	17
PSPTO_0192-recombinase 	3	0	2	5	1	2
"PSPTO_0193-ISPsy4, transposition helper protein "	1	0	3	1	1	2
"PSPTO_0194-ISPsy4, transposase "	0	4	19	53	49	81
"PSPTO_0196-ISPsy5, transposase "	3	0	2	3	15	4
"PSPTO_0197-ISPsy5, Orf1 "	0	0	0	0	1	4
PSPTO_0200-hypothetical protein 	16	34	45	1117	345	615
PSPTO_0201-hypothetical protein 	2	0	37	1020	212	220
PSPTO_0202-membrane protein 	4	0	0	509	84	69
PSPTO_0203-cysteine synthase 	9	7	4	393	34	46
PSPTO_0205-hypothetical protein 	16	9	61	157	182	141
PSPTO_0206-hypothetical protein 	549	1356	3551	1184	1169	2308
PSPTO_0208-hypothetical protein 	18	28	99	174	128	236
PSPTO_0209-diaminopimelate decarboxylase 	2	0	10	8	10	14
PSPTO_0210-membrane protein 	0	3	8	9	10	23
PSPTO_0211-L-lysine 6-monooxygenase 	0	1	6	1	7	15
PSPTO_0212-DNA-binding transcriptional regulator LysR 	4	7	21	16	25	19
PSPTO_0213-proteic killer protein 	8	1	21	48	58	39
PSPTO_0214-virulence-associated protein 	0	5	22	12	8	2
PSPTO_0215-hypothetical protein 	78	274	769	427	605	689
PSPTO_0216-hypothetical protein 	0	0	0	5	4	12
PSPTO_0217-nitrogen regulatory protein P-II 	35	49	322	317	236	315
PSPTO_0218-ammonium transporter 	48	95	414	259	224	275
PSPTO_0219-hypothetical protein 	28	42	216	658	536	532
PSPTO_0220-hypothetical protein 	17	30	260	2924	2099	2188
PSPTO_0221-HAD-superfamily hydrolase 	3	16	97	141	129	174
PSPTO_0222-integrase/recombinase XerC 	22	21	97	319	285	352
PSPTO_0223-hypothetical protein 	9	14	95	115	130	198
PSPTO_0224-diaminopimelate epimerase 	18	18	112	175	144	194
PSPTO_0225-diaminopimelate decarboxylase 	75	220	605	674	499	661
PSPTO_0226-lipoprotein LppL 	1	25	88	116	65	102
PSPTO_0227-cyaY protein 	7	2	71	89	48	80
PSPTO_0228-hypothetical protein 	0	4	2	2	6	8
PSPTO_0229-regulator of nucleoside diphosphate kinase 	0	13	14	48	92	69
PSPTO_0230-adenylate cyclase 	16	37	189	396	431	478
PSPTO_0231-hypothetical protein 	47	219	749	271	137	267
PSPTO_0232-hypothetical protein 	16	21	44	385	343	523
PSPTO_0233-proton/glutamate symporter 	4	10	27	127	119	88
PSPTO_0234-ribosomal protein S6 modification protein 	11	23	107	95	105	137
PSPTO_0235-hypothetical protein 	2	5	14	15	17	2
PSPTO_0236-EAL domain-containing protein 	25	76	220	169	150	218
PSPTO_0237-heat shock protein 15 	14	30	153	106	70	83
"PSPTO_0238-chaperonin, 33 kDa "	53	106	321	919	897	971
PSPTO_0239-phosphoenolpyruvate carboxykinase 	62	146	383	1089	848	819
PSPTO_0240-prevent-host-death family protein 	62	100	508	918	785	1004
PSPTO_0241-hypothetical protein 	13	28	62	161	69	67
PSPTO_0242-hypothetical protein 	0	0	1	11	0	7
PSPTO_0243-hypothetical protein 	3	8	17	56	45	61
PSPTO_0244-hypothetical protein 	2	5	17	24	8	11
PSPTO_0245-GNAT family acetyltransferase 	7	19	39	39	17	21
PSPTO_0246-hypothetical protein 	6	0	5	14	6	20
PSPTO_0247-haloacid dehalogenase 	36	114	305	176	100	183
"PSPTO_0248-oxidoreductase, FAD-binding protein "	0	0	32	21	31	24
PSPTO_0249-peptide ABC transporter periplasmic peptide-binding protein 	19	11	97	41	40	37
PSPTO_0250-peptide ABC transporter permease 	7	7	24	14	28	18
PSPTO_0251-peptide ABC transporter permease 	0	5	29	22	28	16
PSPTO_0252-peptide ABC transporter ATP-binding protein 	4	16	76	35	35	38
PSPTO_0253-hypothetical protein 	7	11	23	7	11	8
PSPTO_0254-pyridine nucleotide-disulfide oxidoreductase family protein 	0	7	10	26	10	24
"PSPTO_0255-oxidoreductase, FAD-binding protein "	3	1	24	41	43	32
PSPTO_0256-acetylornithine deacetylase 	1	11	39	46	57	48
PSPTO_0257-succinate-semialdehyde dehydrogenase 	10	54	128	134	135	151
PSPTO_0258-D-isomer specific 2-hydroxyacid dehydrogenase family protein 	0	9	13	21	15	22
PSPTO_0259-4-aminobutyrate aminotransferase 	11	20	79	29	34	46
PSPTO_0260-hypothetical protein 	3	0	9	23	22	11
PSPTO_0261-AsnC family transcriptional regulator 	29	90	357	368	372	481
PSPTO_0262-hypothetical protein 	2	0	3	11	12	18
PSPTO_0263-methyl-accepting chemotaxis protein 	12	10	41	154	126	209
PSPTO_0264-peptide ABC transporter ATP-binding protein 	0	0	3	6	15	16
PSPTO_0265-peptide ABC transporter permease 	0	3	5	4	2	9
PSPTO_0266-peptide ABC transporter permease 	0	0	0	3	1	3
PSPTO_0267-family 5 extracellular solute-binding protein 	2	0	0	0	5	3
PSPTO_0268-TonB system transport protein 	0	0	11	21	12	6
PSPTO_0269-biopolymer transport protein ExbD 	0	0	0	0	0	0
PSPTO_0270-biopolymer transport protein ExbB 	0	0	0	1	2	5
PSPTO_0271-tonB protein 	0	0	3	5	1	2
PSPTO_0272-cysteine desulfurase 	25	73	449	69	112	155
PSPTO_0273-AsnC family transcriptional regulator 	4	8	13	30	23	31
PSPTO_0274-hypothetical protein 	0	20	20	5	7	6
PSPTO_0275-DNA-binding protein 	6	24	77	267	238	333
PSPTO_0276-haloacid dehalogenase-like family hydrolase 	9	5	27	8	21	14
PSPTO_0277-hypothetical protein 	3	0	15	31	26	58
PSPTO_0278-hypothetical protein 	3	1	51	147	118	97
PSPTO_0279-hypothetical protein 	0	5	12	49	41	44
PSPTO_0280-methionine aminopeptidase 	11	2	33	68	80	100
PSPTO_0281-hypothetical protein 	55	154	443	10	27	20
PSPTO_0282-membrane protein 	0	0	2	11	14	13
PSPTO_0283-hypothetical protein 	4	15	13	208	277	229
PSPTO_0284-hypothetical protein 	0	0	0	4	1	3
PSPTO_0285-hypothetical protein 	1	20	67	239	250	321
"PSPTO_0287-site-specific recombinase, phage integrase family "	19	38	215	458	429	515
PSPTO_0288-excisionase 	0	3	3	80	23	58
PSPTO_0289-hypothetical protein 	0	0	2	5	0	6
PSPTO_0290-hypothetical protein 	1	18	57	336	279	415
"PSPTO_0291-ISPsy4, transposition helper protein "	0	0	0	0	0	0
"PSPTO_0292-ISPsy4, transposase "	0	0	0	0	0	0
PSPTO_0293-hypothetical protein 	0	9	18	58	38	64
PSPTO_0294-hypothetical protein 	1	15	38	69	43	37
PSPTO_0295-hypothetical protein 	0	7	20	21	22	11
PSPTO_0296-hypothetical protein 	0	0	0	26	12	13
PSPTO_0297-hypothetical protein 	7	6	30	52	33	51
PSPTO_0298-resolvase 	9	9	89	89	114	145
PSPTO_0299-monooxygenase 	5	0	6	39	76	46
PSPTO_0300-succinate-semialdehyde dehydrogenase 	45	130	573	458	481	511
PSPTO_0301-4-aminobutyrate aminotransferase 	41	103	281	437	343	384
PSPTO_0302-hypothetical protein 	0	0	0	0	0	0
PSPTO_0303-response regulator 	7	17	40	122	152	190
PSPTO_0304-sensory box/GGDEF domain protein 	43	96	373	1017	1035	1056
PSPTO_0305-fatty acid desaturase 	83	145	616	872	544	783
PSPTO_0306-sensory box/GGDEF domain/EAL domain-containing protein 	14	14	79	333	349	321
PSPTO_0307-hypothetical protein 	61	106	498	22	16	18
PSPTO_0308-sulfate-binding protein 	65	218	738	64	55	78
PSPTO_0309-sulfate ABC transporter permease CysT 	1	4	46	61	45	68
PSPTO_0310-sulfate ABC transporter permease CysW 	2	6	6	10	20	21
"PSPTO_0311-sulfate ABC transporter, ATP-binding protein CysA "	0	11	29	35	18	27
PSPTO_0312-hypothetical protein 	35	68	138	104	115	138
PSPTO_0313-cyclic nucleotide-binding protein 	0	6	16	65	48	68
PSPTO_0314-iron ABC transporter periplasmic iron-binding protein 	85	249	1302	668	667	991
PSPTO_0315-iron ABC transporter permease 	12	0	41	131	146	103
PSPTO_0316-glycine cleavage system T protein 	20	52	243	620	497	425
PSPTO_0317-glycine cleavage system H protein 	1	0	45	156	160	119
PSPTO_0318-hypothetical protein 	125	327	1755	364	506	519
PSPTO_0319-type IV pilus biogenesis protein 	47	120	420	286	280	452
PSPTO_0320-hypothetical protein 	1	6	4	3	4	4
PSPTO_0321-AsnC family transcriptional regulator 	6	25	66	168	129	121
PSPTO_0322-adenylate cyclase 	17	27	263	417	373	429
PSPTO_0323-acetylornithine deacetylase 	62	147	603	361	255	366
PSPTO_0324-N-acetylglutamate synthase 	3	24	120	155	151	116
PSPTO_0325-glutamate--cysteine ligase 	24	30	311	1099	969	1057
PSPTO_0326-hypothetical protein 	0	0	4	15	15	9
PSPTO_0327-S1 RNA binding domain-containing protein 	32	50	195	418	280	256
PSPTO_0328-DNA-binding response regulator OmpR 	25	43	214	215	138	144
PSPTO_0329-osmolarity sensor protein EnvZ 	0	6	35	172	204	207
PSPTO_0330-hypothetical protein 	58	210	1147	82	87	82
PSPTO_0331-hypothetical protein 	0	8	9	13	18	22
PSPTO_0332-hypothetical protein 	720	1605	4819	213	117	101
PSPTO_0333-hypothetical protein 	19	14	81	111	57	70
PSPTO_0334-alginate biosynthesis transcriptional regulator AlgB 	86	125	417	597	534	568
PSPTO_0335-sensory box histidine kinase 	18	48	275	495	459	580
PSPTO_0336-hypothetical protein 	4	21	75	57	81	77
PSPTO_0337-prevent-host-death family protein 	3	1	17	91	35	65
PSPTO_0338-N-acetylmuramoyl-L-alanine amidase family protein 	11	60	145	287	258	349
PSPTO_0339-diguanylate cyclase 	9	4	77	428	358	451
PSPTO_0340-endonuclease/exonuclease/phosphatase family protein 	17	42	170	357	212	281
PSPTO_0341-thiol:disulfide interchange protein DsbA 	38	98	356	903	374	437
PSPTO_0342-hypothetical protein 	0	0	1	5	5	5
PSPTO_0343-GTP-binding protein EngB 	20	33	109	298	186	380
PSPTO_0344-DNA polymerase I 	15	74	238	257	187	263
PSPTO_0345-hypothetical protein 	97	281	638	547	539	776
PSPTO_0346-homoserine kinase 	27	57	187	456	405	587
PSPTO_0347-LacI family transcriptional regulator 	0	7	37	27	44	77
"PSPTO_0349-xenobiotic compound monooxygenase, DszA family, A subunit "	0	4	9	27	35	28
PSPTO_0350-alkanesulfonate transporter substrate-binding subunit 	3	15	42	65	65	51
"PSPTO_0351-oxidoreductase, aldo/keto reductase family "	21	61	213	271	154	198
PSPTO_0352-nitrogen regulation protein NR(I) 	49	192	425	41	27	79
PSPTO_0353-nitrogen regulation protein NtrB 	49	119	330	77	62	65
PSPTO_0354-hypothetical protein 	0	4	0	11	10	10
PSPTO_0355-hypothetical protein 	0	0	32	83	71	92
PSPTO_0356-hypothetical protein 	13	20	85	85	72	122
PSPTO_0357-chorismate mutase 	9	7	63	141	37	137
"PSPTO_0358-ISPsy6, transposase "	0	0	0	0	3	0
"PSPTO_0359-glutamine synthetase, type I "	643	1239	3408	1023	611	1011
PSPTO_0360-thiamin biosynthesis protein ThiI 	68	118	430	1014	739	847
PSPTO_0361-GTP-binding protein TypA 	41	92	372	925	1170	986
PSPTO_0362-DeoR family transcriptional regulator 	15	19	216	334	308	426
PSPTO_0363-sorbitol dehydrogenase 	0	0	25	32	24	36
PSPTO_0364-sugar ABC transporter periplasmic sugar-binding protein 	6	6	15	40	15	52
PSPTO_0365-AraC family transcriptional regulator 	30	105	246	302	347	432
PSPTO_0366-Na+/H+ antiporter NhaP 	0	5	14	109	77	56
PSPTO_0367-hypothetical protein 	10731	22044	51560	10203	13382	18437
PSPTO_0368-hypothetical protein 	1	4	13	30	54	26
"PSPTO_0369-outer membrane porin, OprD family "	127	334	648	945	784	1015
PSPTO_0370-MATE efflux family protein 	2	7	20	4	10	5
PSPTO_0371-indoleacetate-lysine ligase 	87	123	609	26	20	43
"PSPTO_0372-ISPsy7, transposase "	0	0	0	0	0	0
PSPTO_0373-Rhs family protein 	105	190	624	1019	757	1076
PSPTO_0374-hypothetical protein 	24	64	256	397	415	450
PSPTO_0375-cation efflux family protein 	130	186	755	564	742	876
PSPTO_0376-cation efflux family protein 	46	74	437	173	182	200
PSPTO_0377-metal ion efflux outer membrane protein 	154	417	1544	162	163	142
PSPTO_0378-DNA-binding heavy metal response regulator 	37	106	312	65	83	108
PSPTO_0379-heavy metal sensor histidine kinase 	21	52	130	111	118	141
PSPTO_0380-hypothetical protein 	22	60	303	165	241	219
PSPTO_0381-hypothetical protein 	19	27	125	209	217	235
