	Pto_col_1	Pto_col_2	Pto_col_3	Pto_col_4	Pto_col_5	Pto_col_6	Pto_col_7	Pto_col_8	Pto_col_9	Pto_col_10	Pto_col_11	Pto_col_12	Pto_col_13	Pto_vitro_1	Pto_vitro_2
PSPTOA0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTOA0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTO_0001-chromosomal replication initiation protein 	4167	5779	2727	3160	2859	5174	376	1631	2980	3592	5955	2457	3019	2548	1062
PSPTO_0002-DNA polymerase III subunit beta 	1272	1462	851	1348	935	1454	211	545	640	1219	1247	794	917	1720	838
PSPTO_0003-DNA replication and repair protein RecF 	859	1341	580	914	497	784	201	424	648	927	978	407	507	469	154
PSPTO_0004-DNA gyrase subunit B 	2645	3430	2186	3062	2109	3448	1354	1584	2552	2835	3438	1027	1132	837	461
"PSPTO_0005-type I restriction-modification system, M subunit "	98	184	81	221	128	152	70	84	119	186	149	59	52	160	102
"PSPTO_0006-type I restriction-modification system, S subunit, EcoA family "	40	105	41	72	70	115	33	33	49	82	70	65	32	81	65
PSPTO_0007-hypothetical protein 	32	100	23	42	27	51	3	9	25	20	15	15	7	19	26
PSPTO_0008-HsdR family type I site-specific deoxyribonuclease 	189	355	129	308	118	192	55	96	125	171	234	57	109	197	144
"PSPTO_0009-ISPsy3, transposase "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTO_0011-hypothetical protein 	97	243	115	153	120	168	51	58	64	106	122	64	66	212	113
PSPTO_0012-hypothetical protein 	16	66	9	102	20	36	22	5	9	16	37	14	22	51	40
PSPTO_0013-hypothetical protein 	0	18	8	3	3	4	1	1	2	1	3	2	3	13	9
PSPTO_0014-hypothetical protein 	3	0	8	13	1	1	0	0	0	0	10	2	0	0	3
PSPTO_0015-hypothetical protein 	30	12	9	24	19	48	13	11	20	43	49	1	18	55	24
PSPTO_0016-hypothetical protein 	35	73	31	35	26	49	5	16	18	46	33	31	28	189	109
PSPTO_0017-helicase/SNF2 family domain protein 	30	56	23	30	62	81	30	30	59	68	111	42	45	133	81
"PSPTO_0018-ISPsy4, transposition helper protein "	0	0	0	0	0	0	2	0	0	7	0	0	5	0	0
"PSPTO_0019-ISPsy4, transposase "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTO_0020-hypothetical protein 	0	0	2	6	4	1	0	2	3	0	7	4	2	11	10
PSPTO_0021-hypothetical protein 	144	150	66	223	100	155	58	88	95	148	197	80	90	507	299
PSPTO_0022-DNA-binding protein 	95	199	93	187	110	235	63	101	72	186	143	61	63	117	44
PSPTO_0023-hypothetical protein 	110	182	63	111	74	85	30	23	56	95	89	64	53	80	41
PSPTO_0024-hypothetical protein 	10	10	0	8	7	8	4	1	11	10	8	9	5	6	6
PSPTO_0025-haloacid dehalogenase-like family hydrolase 	17	9	20	63	33	70	20	39	38	34	59	16	38	84	67
PSPTO_0026-hypothetical protein 	62	91	37	57	54	66	9	30	52	58	120	34	57	95	40
PSPTO_0027-hypothetical protein 	5	0	8	3	3	7	1	1	4	5	9	2	2	22	5
PSPTO_0028-transposase 	4	15	5	0	6	4	2	9	7	5	14	4	1	23	19
PSPTO_0029-transposition helper protein 	5	31	14	4	32	29	9	6	19	33	17	23	10	44	25
PSPTO_0030-hypothetical protein 	34	60	22	28	36	54	11	37	45	23	68	14	19	95	54
PSPTO_0031-Ser/Thr protein phosphatase family protein 	9	0	1	6	7	13	3	2	11	1	8	11	5	10	1
PSPTO_0032-hypothetical protein 	4	30	12	4	9	30	2	4	16	30	10	7	19	16	11
PSPTO_0033-ParB family protein 	5	0	1	0	4	11	1	6	5	4	15	0	0	15	15
PSPTO_0034-recombinase 	0	0	1	4	3	8	0	0	1	0	3	3	3	0	0
"PSPTO_0035-ISPsy5, transposase "	24	40	19	3	35	21	4	16	24	25	47	23	41	109	40
"PSPTO_0036-ISPsy5, Orf1 "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTO_0037-helicase domain-containing protein 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTO_0038-hypothetical protein 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PSPTO_0039-ISPsy5, transposase "	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PSPTO_0040-ISPsy5, Orf1 "	8	15	15	21	11	1	7	6	6	12	32	0	7	8	1
PSPTO_0041-hypothetical protein 	13	15	12	9	17	20	1	5	7	6	5	10	4	16	10
PSPTO_0043-cytidine/deoxycytidylate deaminase family protein 	126	185	70	228	119	176	132	91	144	171	174	73	86	851	568
PSPTO_0044-type III effector HopK1 	116	163	122	236	99	137	34	56	63	122	143	43	62	59	25
PSPTO_0045-hypothetical protein 	41	69	39	37	77	118	57	47	69	73	122	46	47	112	141
PSPTO_0046-hypothetical protein 	118	315	106	184	109	201	49	58	95	163	186	78	78	302	132
PSPTO_0047-UvrD/REP helicase family protein 	64	293	63	115	102	125	51	49	82	122	123	81	91	255	151
PSPTO_0048-hypothetical protein 	184	229	126	120	142	229	61	76	113	165	167	118	142	377	251
PSPTO_0049-hypothetical protein 	61	161	86	122	86	121	21	33	94	116	131	65	58	236	144
PSPTO_0050-hypothetical protein 	61	126	63	111	83	110	28	61	58	113	103	81	49	204	106
PSPTO_0051-hypothetical protein 	58	141	61	47	75	87	28	46	73	87	84	36	67	209	154
PSPTO_0052-hypothetical protein 	328	535	238	350	260	389	113	179	326	534	478	224	198	1216	774
PSPTO_0053-hypothetical protein 	44	97	51	57	38	63	19	47	24	53	40	27	40	96	74
PSPTO_0054-hypothetical protein 	8	14	5	14	11	17	8	3	14	15	28	13	2	27	5
"PSPTO_0055-ISPsy4, transposase "	0	5	0	6	1	0	1	0	3	0	3	4	0	0	4
"PSPTO_0056-ISPsy4, transposition helper protein "	0	10	0	7	0	0	0	0	0	0	1	0	0	0	0
PSPTO_0057-transposition helper protein 	51	79	53	102	61	104	23	47	41	74	51	30	55	147	118
PSPTO_0058-transposase 	51	190	79	132	93	123	51	86	83	107	197	51	36	126	69
PSPTO_0059-hypothetical protein 	56	44	58	61	58	77	28	39	88	83	106	24	37	73	34
PSPTO_0061-type III effector HopY1 	2708	2498	1627	2806	1958	2986	536	792	827	1416	2095	768	1070	35	31
PSPTO_0062-citrate transporter 	76	59	48	188	48	106	28	44	58	40	28	29	24	199	54
PSPTO_0063-hypothetical protein 	17	28	17	18	7	12	4	3	8	8	0	1	2	22	28
PSPTO_0064-hypothetical protein 	2018	2574	1436	2003	1534	2619	618	1139	1675	2495	2778	976	1099	1468	989
PSPTO_0065-ATP-dependent DNA helicase RecG 	542	865	527	852	341	699	147	225	310	406	524	234	211	245	179
PSPTO_0066-oxidative stress regulatory protein OxyR 	638	1083	411	675	430	869	319	399	298	364	781	254	284	197	117
PSPTO_0067-tonB protein 	1925	3086	1282	2241	1511	2783	631	690	1478	1611	2618	1194	1569	130	124
PSPTO_0068-TonB system transport protein ExbD 	106	331	188	348	154	265	50	112	133	109	296	63	101	17	7
PSPTO_0069-TonB system transport protein ExbB 	1476	3498	1435	3377	1404	2341	732	993	1295	1578	2488	498	732	67	20
PSPTO_0070-hypothetical protein 	125	144	132	162	69	167	29	45	85	159	145	64	57	60	45
PSPTO_0071-lipoprotein 	554	520	297	337	377	783	150	253	378	489	749	306	293	335	164
PSPTO_0072-endoribonuclease L-PSP 	444	610	300	424	388	690	114	217	267	422	607	207	288	468	435
"PSPTO_0073-guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase "	2131	3722	1912	2282	1715	3024	571	1195	1386	1883	2676	1210	1281	1632	1102
PSPTO_0074-DNA-directed RNA polymerase subunit omega 	881	911	419	614	519	1047	76	231	607	668	1022	382	436	720	435
PSPTO_0075-guanylate kinase 	100	116	56	80	89	149	53	54	114	136	141	36	26	94	55
PSPTO_0076-hypothetical protein 	240	430	146	266	177	387	94	159	237	244	392	150	179	194	143
PSPTO_0077-ribonuclease PH 	920	1142	392	604	519	1149	151	432	446	717	1057	474	436	502	276
PSPTO_0078-hypothetical protein 	65	118	37	76	77	100	50	32	49	58	92	38	35	124	77
PSPTO_0079-exodeoxyribonuclease III 	494	881	320	435	481	875	183	308	441	591	853	386	475	923	544
PSPTO_0080-orotate phosphoribosyltransferase 	173	288	161	181	165	319	42	80	214	320	327	136	151	168	80
PSPTO_0081-hypothetical protein 	419	644	349	465	426	794	79	286	329	367	712	311	272	350	208
PSPTO_0082-acetylglutamate kinase 	209	534	317	353	298	556	85	135	118	272	562	165	196	166	89
PSPTO_0083-phosphomannomutase 	2102	3667	2163	3460	1675	3002	935	1525	1473	2309	2878	988	908	819	578
PSPTO_0084-deoxyuridine 5'triphosphate nucleotidohydrolase 	60	153	62	114	77	166	40	82	72	112	136	46	76	138	130
PSPTO_0085-phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase 	688	833	413	706	594	1081	321	664	599	780	863	459	494	1228	920
PSPTO_0086-DNA repair protein RadC 	12	17	18	20	22	37	20	30	19	57	35	21	14	60	38
PSPTO_0087-family 5 extracellular solute-binding protein 	248	533	204	335	251	377	151	216	239	274	424	137	124	476	311
PSPTO_0088-hypothetical protein 	0	0	0	5	4	5	0	0	0	0	0	0	0	3	1
PSPTO_0089-50S ribosomal protein L28 	1967	3642	1015	1242	5778	8587	3810	1593	1440	2129	6308	1661	2654	7227	3897
PSPTO_0090-50S ribosomal protein L33 	26	150	31	78	274	383	5	22	45	88	429	37	136	190	140
PSPTO_0091-hypothetical protein 	106	205	122	365	119	190	110	114	85	155	179	88	139	762	488
PSPTO_0092-aldehyde dehydrogenase family protein 	411	485	396	604	288	428	148	303	238	386	500	200	170	626	452
PSPTO_0093-hypothetical protein 	0	5	3	5	5	4	1	6	3	8	26	0	5	5	3
PSPTO_0094-membrane protein 	0	37	22	28	8	20	6	22	16	26	41	30	13	63	33
PSPTO_0095-phospholipase D 	154	372	119	182	171	321	64	118	146	186	314	109	133	313	264
"PSPTO_0096-GntR family transcriptional regulator/aminotransferase, class I "	75	203	89	106	109	199	60	161	121	235	318	105	97	135	72
PSPTO_0097-hypothetical protein 	41	173	108	140	93	97	133	231	49	219	151	179	40	33	26
PSPTO_0098-hypothetical protein 	83	102	58	84	89	154	45	89	66	110	138	52	54	176	151
PSPTO_0099-hypothetical protein 	53	78	52	40	37	122	8	32	55	70	99	38	53	112	78
PSPTO_0100-leucine-responsive regulatory protein 	25	49	28	33	67	97	31	48	67	107	134	37	77	62	33
PSPTO_0101-D-amino acid dehydrogenase small subunit 	924	1007	721	811	1116	1159	202	526	1570	1714	2263	643	1071	4726	3781
PSPTO_0102-endoribonuclease L-PSP family protein 	124	108	97	116	114	164	19	61	174	197	249	96	130	467	289
PSPTO_0103-alanine racemase 	333	429	159	318	305	321	94	248	394	388	409	134	176	1456	1000
PSPTO_0104-hypothetical protein 	0	0	0	0	2	0	0	1	1	1	0	0	5	3	2
PSPTO_0105-DNA-binding protein 	103	78	55	146	55	127	36	56	76	140	80	47	55	319	167
PSPTO_0106-cytochrome c5 	35	96	38	53	14	53	11	36	43	41	38	25	22	141	164
PSPTO_0107-hypothetical protein 	165	202	97	245	122	231	68	87	134	146	219	56	76	282	259
PSPTO_0108-membrane protein 	12	21	2	5	12	14	4	9	4	10	4	6	7	75	77
PSPTO_0109-hypothetical protein 	65	199	65	132	68	116	13	37	71	100	163	121	84	428	464
PSPTO_0110-metallo-beta-lactamase superfamily protein 	177	215	107	114	123	174	30	47	74	137	176	163	70	906	827
PSPTO_0111-sigma-54 dependent transcriptional regulator 	37	106	23	56	57	77	25	43	56	96	81	39	36	90	58
PSPTO_0112-xanthine phosphoribosyltransferase 	139	247	108	127	99	186	14	60	102	89	150	97	53	51	42
PSPTO_0113-ATP-dependent DNA helicase Rep 	1641	2286	1191	1753	1401	2458	583	1105	1619	2017	2422	1125	1185	1471	1035
PSPTO_0114-GGDEF domain/EAL domain protein 	253	436	227	334	330	521	147	304	363	603	689	203	286	294	211
PSPTO_0115-multidrug efflux protein NorA 	49	87	28	61	43	96	19	41	46	94	93	59	31	227	202
PSPTO_0116-LysR family transcriptional regulator 	34	132	40	32	40	49	10	37	45	80	115	64	78	56	53
PSPTO_0117-methyl-accepting chemotaxis protein 	107	192	118	167	131	202	65	88	130	130	268	64	137	612	414
PSPTO_0118-Na/Pi cotransporter family protein 	210	470	173	207	205	412	47	102	146	255	376	116	151	233	136
"PSPTO_0119-peptidase, M16 family "	325	360	169	335	189	318	65	97	179	253	373	223	216	315	214
PSPTO_0120-membrane protein 	182	290	114	202	176	281	43	114	149	171	354	134	119	355	256
PSPTO_0121-membrane protein 	404	556	205	173	281	467	68	141	309	413	558	185	224	315	212
"PSPTO_0123-ISPsy8, transposase OrfA "	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0
"PSPTO_0124-ISPsy8, transposase OrfB "	5	63	11	8	30	42	0	12	18	26	54	21	28	44	24
PSPTO_0125-argininosuccinate lyase 	1356	1598	983	1365	1187	1971	552	1036	1134	1710	1748	718	752	1152	718
PSPTO_0126-alginate biosynthesis protein AlgZ/FimS 	63	47	50	119	51	96	21	23	33	99	93	72	37	92	97
PSPTO_0127-alginate biosynthesis regulatory protein AlgR 	357	723	330	695	283	525	92	243	223	451	675	261	223	494	282
PSPTO_0128-porphobilinogen deaminase 	289	501	213	241	205	387	42	118	184	287	430	182	191	238	204
PSPTO_0129-uroporphyrinogen-III synthase 	151	365	106	255	139	167	13	79	121	152	189	117	164	213	193
PSPTO_0130-uroporphyrin-III C-methyltransferase 	599	970	451	630	428	730	180	305	401	675	683	503	571	665	606
PSPTO_0131-hemY protein 	322	828	356	512	356	772	132	241	356	518	791	298	372	647	419
PSPTO_0132-DsbB family protein 	2	13	14	9	19	7	0	8	11	22	32	6	6	13	13
PSPTO_0133-hypothetical protein 	0	2	2	1	1	3	0	0	0	5	5	0	1	5	0
PSPTO_0134-transcriptional regulator AlgQ 	366	735	509	707	277	535	45	240	305	498	526	253	292	963	538
PSPTO_0135-FKBP-type peptidyl-prolyl cis-trans isomerase 	201	248	134	187	209	361	77	215	181	297	465	140	172	490	306
PSPTO_0136-alginate regulatory protein AlgR3 	1284	2838	1521	4379	1125	1949	849	1111	1483	1876	2541	794	723	1559	1320
PSPTO_0137-hypothetical protein 	8	7	10	23	11	21	7	9	6	32	23	1	4	6	3
PSPTO_0138-ABC transporter ATP-binding protein 	1146	1896	902	1261	852	2010	417	882	963	1235	1769	615	697	1142	861
PSPTO_0139-hypothetical protein 	190	206	92	132	130	240	67	140	144	151	163	130	130	237	138
PSPTO_0140-homoserine/homoserine lactone efflux protein 	56	171	78	95	67	106	30	86	59	109	158	85	66	300	131
PSPTO_0141-lead uptake protein 	182	368	169	149	197	331	99	176	174	297	384	123	165	260	204
PSPTO_0142-hypothetical protein 	0	37	11	8	7	8	1	1	11	5	8	8	2	34	17
PSPTO_0143-hypothetical protein 	0	0	0	4	2	0	0	0	0	3	0	0	2	0	1
PSPTO_0144-oligopeptidase A 	465	741	377	970	410	649	236	463	379	655	742	265	303	640	495
PSPTO_0145-hypothetical protein 	146	404	159	501	261	379	165	282	223	279	501	172	199	924	586
PSPTO_0146-hypothetical protein 	9	0	6	3	1	3	2	7	2	10	7	1	13	20	15
PSPTO_0147-hypothetical protein 	162	82	69	96	148	191	63	171	127	153	251	101	112	956	556
PSPTO_0148-oligopeptide transporter 	3	24	14	12	4	29	7	11	11	9	17	16	0	26	39
PSPTO_0149-hypothetical protein 	199	220	135	264	214	320	56	106	192	202	310	168	162	333	227
PSPTO_0150-lipoprotein 	13	15	8	27	12	25	11	8	6	26	30	4	6	16	41
PSPTO_0151-hypothetical protein 	31	65	48	78	33	90	24	30	20	43	36	32	32	56	49
PSPTO_0152-osmotically inducible protein 	168	248	176	513	119	247	69	112	154	225	331	83	69	206	120
PSPTO_0153-luciferase family protein 	213	357	190	220	298	448	132	231	362	620	728	119	188	132	279
PSPTO_0154-hypothetical protein 	78	168	72	267	69	94	39	39	30	73	104	60	69	121	117
PSPTO_0155-hypothetical protein 	57	210	91	439	74	103	37	52	27	120	121	37	73	53	28
PSPTO_0156-hypothetical protein 	1373	2092	1032	2476	1533	2283	667	765	1256	1811	2425	678	744	1549	658
PSPTO_0157-trpBA operon transcriptional activator 	75	89	28	47	52	86	22	25	63	78	113	22	33	43	25
PSPTO_0158-tryptophan synthase subunit beta 	1253	1536	894	1357	1003	1628	646	747	1262	1725	1846	584	623	469	316
PSPTO_0159-tryptophan synthase subunit alpha 	536	1025	425	678	420	796	74	187	438	653	977	341	402	253	189
PSPTO_0161-hypothetical protein 	17	38	37	60	19	31	10	17	28	36	27	18	6	27	26
PSPTO_0162-3-oxoadipate enol-lactone hydrolase family protein 	418	459	364	419	388	577	86	202	485	602	757	374	317	322	145
PSPTO_0163-hypothetical protein 	23	25	16	33	30	35	8	30	30	25	39	20	22	70	40
PSPTO_0164-LysR family transcriptional regulator 	27	63	32	48	23	85	17	15	51	58	89	30	25	74	61
PSPTO_0165-sulfatase family protein 	779	1549	538	954	566	1077	247	402	731	1198	1276	487	556	750	548
"PSPTO_0166-glycine/betaine family, ABC transporter, substrate-binding protein "	171	212	131	124	136	204	30	93	146	213	227	107	126	211	112
PSPTO_0167-hypothetical protein 	202	309	204	376	292	374	136	253	291	431	428	141	175	346	215
PSPTO_0168-sulfate transporter family protein 	53	183	72	113	70	178	36	82	64	110	119	64	68	152	157
PSPTO_0169-shikimate 5-dehydrogenase 	66	214	69	122	102	220	28	52	85	82	187	74	40	48	74
PSPTO_0170-coproporphyrinogen III oxidase 	109	178	80	162	79	113	22	75	67	75	106	32	40	65	34
PSPTO_0171-coproporphyrinogen III oxidase 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSPTO_0172-coproporphyrinogen III oxidase 	0	6	5	0	0	6	0	4	0	2	4	0	0	5	3
PSPTO_0173-coproporphyrinogen III oxidase 	58	95	67	59	34	67	21	61	63	69	48	22	24	56	66
PSPTO_0174-SUA5/yciO/yrdC family domain protein 	111	135	114	74	122	182	14	62	121	149	154	93	98	139	112
PSPTO_0175-DNA processing protein DprA 	57	186	68	76	51	92	14	30	37	82	112	44	56	146	110
PSPTO_0176-LysM domain-containing protein 	305	361	210	320	356	524	213	336	306	388	519	166	213	266	221
PSPTO_0177-polypeptide deformylase 	231	521	284	254	375	597	109	187	300	500	668	212	200	675	366
PSPTO_0178-methionyl-tRNA formyltransferase 	331	668	301	353	257	542	60	174	231	307	468	196	173	265	205
PSPTO_0179-sun protein 	392	698	305	519	266	600	78	269	318	358	483	275	231	230	211
PSPTO_0180-Trk system potassium uptake protein TrkA 	202	513	203	266	222	346	67	116	177	264	369	144	159	231	203
PSPTO_0181-molybdopterin oxidoreductase subunit alpha 	38	84	41	62	29	69	12	8	33	32	44	38	33	41	30
PSPTO_0182-lipid A biosynthesis lauroyl acyltransferase 	206	311	161	241	187	294	91	146	180	187	209	74	81	151	116
PSPTO_0183-DNA-3-methyladenine glycosidase I 	15	45	28	17	15	29	8	5	11	17	43	12	20	24	29
PSPTO_0184-glycyl-tRNA synthetase subunit alpha 	1364	1827	778	1534	1092	2016	358	887	1161	1518	2342	941	1119	1213	867
PSPTO_0185-glycyl-tRNA synthetase subunit beta 	813	1289	830	950	821	1380	521	490	584	890	1363	393	555	427	396
"PSPTO_0186-D,D-heptose 1,7-bisphosphate phosphatase "	272	371	216	175	233	448	62	154	288	343	462	131	137	192	186
PSPTO_0187-hdtS protein 	53	120	75	51	63	150	22	32	55	114	97	68	29	108	51
PSPTO_0189-nitrilase 	14	4	10	10	17	14	5	9	3	0	4	5	15	18	17
PSPTO_0192-recombinase 	3	5	0	6	1	3	1	2	6	2	11	3	9	3	0
"PSPTO_0193-ISPsy4, transposition helper protein "	2	13	0	4	2	9	0	2	6	0	3	0	5	2	1
"PSPTO_0194-ISPsy4, transposase "	28	24	14	8	33	61	9	26	37	31	61	19	15	80	41
"PSPTO_0196-ISPsy5, transposase "	9	0	6	0	16	4	6	1	0	0	0	2	5	6	9
"PSPTO_0197-ISPsy5, Orf1 "	0	4	2	0	1	3	1	1	3	1	0	0	3	1	0
PSPTO_0200-hypothetical protein 	253	392	215	224	244	385	85	126	347	399	311	243	252	969	271
PSPTO_0201-hypothetical protein 	171	246	65	205	111	147	26	69	124	226	107	139	161	904	276
PSPTO_0202-membrane protein 	39	23	12	20	22	39	6	19	20	34	41	26	24	366	36
PSPTO_0203-cysteine synthase 	12	5	19	11	11	30	2	2	13	14	17	18	23	262	21
PSPTO_0205-hypothetical protein 	45	78	40	77	63	112	52	39	58	58	85	32	33	213	150
PSPTO_0206-hypothetical protein 	1229	1276	634	1216	1002	1514	734	830	1023	1358	1647	603	711	1627	1199
PSPTO_0208-hypothetical protein 	116	168	137	215	178	246	81	89	192	274	221	89	154	164	133
PSPTO_0209-diaminopimelate decarboxylase 	351	574	337	370	403	576	110	195	313	512	531	207	198	27	10
PSPTO_0210-membrane protein 	251	202	193	138	248	257	59	110	181	261	239	79	141	6	10
PSPTO_0211-L-lysine 6-monooxygenase 	358	506	349	520	473	487	152	237	403	542	483	187	247	7	7
PSPTO_0212-DNA-binding transcriptional regulator LysR 	24	15	12	17	29	37	11	37	18	18	31	12	14	9	15
PSPTO_0213-proteic killer protein 	18	10	19	17	25	26	34	27	21	26	53	20	11	34	40
PSPTO_0214-virulence-associated protein 	17	29	13	6	7	9	4	2	18	8	8	4	4	17	2
PSPTO_0215-hypothetical protein 	372	724	162	285	338	473	187	244	319	434	429	335	358	493	361
PSPTO_0216-hypothetical protein 	3	15	5	12	0	5	1	5	8	1	3	2	0	16	0
PSPTO_0217-nitrogen regulatory protein P-II 	196	160	120	180	179	289	86	113	117	161	286	143	188	425	306
PSPTO_0218-ammonium transporter 	271	523	282	609	152	276	67	125	123	169	306	124	187	258	177
PSPTO_0219-hypothetical protein 	946	1266	563	570	819	1230	154	738	955	1372	1321	709	714	946	398
PSPTO_0220-hypothetical protein 	408	973	380	598	529	798	413	459	340	605	875	621	726	3075	2047
PSPTO_0221-HAD-superfamily hydrolase 	53	136	87	135	78	112	48	72	57	91	148	32	51	141	103
PSPTO_0222-integrase/recombinase XerC 	252	460	131	328	149	345	51	184	165	229	342	141	197	239	145
PSPTO_0223-hypothetical protein 	235	385	209	310	196	292	69	88	174	256	289	103	121	154	118
PSPTO_0224-diaminopimelate epimerase 	272	477	291	368	176	434	98	204	199	284	372	109	122	143	151
